code,iata,name,city,region,lat,lon,longest_rwy_ft
SCPC,ZPC,Pucón Airport,Pucon,CL-AR,-39.2928,-71.9159,5576
SCPE,,San Pedro de Atacama Airport,San Pedro De Atacama,CL-AN,-22.9217,-68.1584,6560
SCPQ,MHC,Mocopulli Airport,Dalcahue,CL-LL,-42.3404,-73.7157,6562
SCPS,,Perales Airport,Copiapo,CL-AT,-27.3517,-70.5894,5289
SCQP,ZCO,La Araucanía International Airport,Temuco,CL-AR,-38.9259,-72.6515,8005
SCQT,,Las Tacas Airport,Quebrada Las Tacas,CL-CO,-30.0964,-71.3641,3590
SCRA,CNR,Chañaral Airport,Chañaral,CL-AT,-26.3325,-70.6073,3985
SCRG,,La Independencia Airport,Rancagua,CL-LI,-34.1737,-70.7757,5258
SCSE,LSC,La Florida Airport,La Serena-Coquimbo,CL-CO,-29.9162,-71.1995,6358
SCTC,PZS,Maquehue Airport,Temuco,CL-AR,-38.7668,-72.6371,5577
SCTE,PMC,El Tepual International Airport,Puerto Montt,CL-LL,-41.4431,-73.0941,8694
SCTL,TLX,Panguilemo Airport,Talca,CL-ML,-35.3778,-71.6017,3660
SCTN,WCH,Nuevo Chaitén Airport,Chaitén,CL-LL,-42.7819,-72.835,3937
SCTT,TTC,Las Breas Airport,Taltal,CL-AN,-25.5643,-70.3759,3920
SCVD,ZAL,Pichoy Airport,Valdivia,CL-LR,-39.65,-73.0861,6870
SCVL,,Las Marías Airport,Valdivia,CL-LR,-39.7969,-73.2417,4101
SCVM,KNA,Viña del Mar Airport,Viña del Mar,CL-VS,-32.9496,-71.4786,5760
SD10,,Fazenda Vale do Juruena 2 Airport,Nova Bandeirantes,BR-MT,-9.3914,-58.2212,5579
SD2M,,Fazenda do Taboado Airport,Aparecida do Taboado,BR-MS,-20.1961,-51.075,3510
SD33,,Sky Ranch for Boys Airport,Camp Crook,US-SD,45.4793,-104.0055,4800
SD3Z,,Fazenda Eldorado Airport,São José do Xingu,BR-MT,-10.8231,-52.3714,4593
SD6P,BVM,Belmonte Airport,Belmonte,BR-BA,-15.8717,-38.8719,3937
SD6V,,Aeródromo Privado Fazenda Maringá III,Vila Bela da Santíssima Trindade,BR-MT,-14.4476,-60.1248,3609
SD7Q,,Fazenda Norton Airport,Tasso Fragoso,BR-MA,-8.4236,-45.9236,4921
SDAA,,Araras Airport,Araras,BR-SP,-22.3382,-47.3579,3773
SDAD,,Everaldo Moras Barreto Airport,Adamantina,BR-SP,-21.6963,-51.0975,3773
SDAI,,Americana Airport,Americana,BR-SP,-22.7559,-47.2694,3609
SDAM,,Estadual de Campos dos Amarais - Prefeito Francisco Amaral Airport,Campinas,BR-SP,-22.8599,-47.1076,3937
SDAS,,Fazenda Santo Antônio Airport,Mirandópolis,BR-SP,-21.2762,-51.2831,4199
SDBB,,Bebedouro Airport,Bebedouro,BR-SP,-20.9003,-48.4735,4921
SDBP,,Fazenda Pontal Airport,Santa Fé de Goiás,BR-GO,-15.7369,-51.1161,3937
SDCA,,Capão Bonito Airport,Capão Bonito,BR-SP,-24.0343,-48.3562,3527
SDCG,OLC,Senadora Eunice Micheles Airport,São Paulo De Olivença,BR-AM,-3.4691,-68.9211,3937
SDCO,SOD,Sorocaba Airport,Sorocaba,BR-SP,-23.478,-47.49,5348
SDD6,,Fazenda Nova Aliança Udo Kudiess e Filhos Airport,Uruçuí,BR-PI,-7.5234,-44.4999,4265
SDDN,,Andradina Airport,Andradina,BR-SP,-20.925,-51.3823,4921
SDDR,,Dracena Airport,Dracena,BR-SP,-21.4605,-51.6069,4921
SDDX,,Fazenda Paiquerê Airport,Populina,BR-SP,-19.8844,-50.5046,4432
SDEN,,Costa Esmeralda Airport,Porto Belo,BR-SC,-27.1665,-48.6218,4067
SDEO,,Fazenda Entre Rios Airport,Ibitinga,BR-SP,-21.8786,-48.6594,4921
SDFX,,Casa Nova Airport,Casa Nova,BR-BA,-9.1574,-40.9374,3609
SDG3,,Fazenda Malanda Airport,Brasnorte,BR-MT,-11.7233,-58.1728,4593
SDH2,,Porto Alegre do Norte Airport,Porto Alegre do Norte,BR-MT,-10.9181,-51.6094,5249
SDIG,,Ibitinga Airport,Ibitinga,BR-SP,-21.7472,-48.8556,3937
SDIM,JTN,Itanhaém Airport,Itanhaém,BR-SP,-24.1597,-46.7906,4429
SDIO,,Aeroclube de Itápolis Airport,Itápolis,BR-SP,-21.6003,-48.8331,4265
SDIV,,Ituverava Airport,Ituverava,BR-SP,-20.3748,-47.7691,4429
SDIY,FEC,João Durval Carneiro Airport,Feira de Santana,BR-BA,-12.2007,-38.9062,4921
SDJ3,,Fazenda Santa Rita Airport,Rio Maria,BR-PA,-7.2458,-49.4365,4265
SDJA,,Doutor José Augusto de Arruda Botelho Airport,Itirapina,BR-SP,-22.1946,-47.8618,4593
SDJO,,São Joaquim da Barra Airport,São Joaquim Da Barra,BR-SP,-20.5941,-47.8412,4508
SDJQ,,Fazenda São Joaquim O.B. Airport,Pereira Barreto,BR-SP,-20.8284,-51.008,4593
SDJV,,São João da Boa Vista Municipal Airport,São João da Boa Vista,BR-SP,-22.0177,-46.8408,4101
SDK7,,Nova Andradina Municipal Airport,Nova Andradina,BR-MS,-22.1627,-53.3299,4265
SDKJ,,Formosa do Rio Preto Airport,Formosa do Rio Preto,BR-BA,-11.0216,-45.1867,4593
SDKO,,Fazenda Campo Grande Airport,Colômbia,BR-SP,-20.2577,-48.7886,3937
SDL3,,Agropecuária Império Airport,Cassilândia,BR-MS,-19.1121,-52.078,3937
SDL6,,Reunidas do Pontal Airport,Goiatuba,BR-GO,-17.9892,-50.0203,3609
SDLL,,Yolanda Penteado Airport,Leme,BR-SP,-22.226,-47.3808,4370
SDLP,,José Boso Municipal Airport,Lençóis Paulista,BR-SP,-22.5784,-48.7746,4147
SDLU,,Fazenda Santa Luíza Airport,Barra Bonita,BR-SP,-22.4831,-48.5245,4593
SDM8,,Agrícola Zanella Airport,Campos de Júlio,BR-MT,-14.1211,-59.2167,3937
SDM9,,Fazenda Sete Povos II Airport,São Desidério,BR-BA,-12.9017,-46.1558,4921
SBMI,JMR,Maricá Airport,Maricá,BR-RJ,-22.9195,-42.8309,3917
SDME,,Marchesan S.A. Airport,Matão,BR-SP,-21.6295,-48.3928,3609
SDMV,,Fazenda Morro Vermelho Airport,Jaú,BR-SP,-22.2752,-48.6041,5089
SDMY,,Fazenda Cambuhy Airport,Matão,BR-SP,-21.6329,-48.4791,4921
SDNA,,Fazenda Vale Verde Airport,Comendador Gomes,BR-MG,-19.6719,-48.9947,4265
SDNM,NVM,Brigadeiro Eduardo Gomes Airport,Nova Mutum,BR-MT,-13.821,-56.0386,5052
SDNT,,Fazenda Terra Prometida Airport,Porto Nacional,BR-TO,-10.4144,-48.2567,3970
SDOB,,Fazenda São José O.B. Airport,Tapiratiba,BR-SP,-21.4252,-46.7543,4068
SDOL,,Fazenda Agropesp Airport,Tapurah,BR-MT,-12.4423,-56.9077,3609
SDOU,OUS,Jornalista Benedito Pimentel Airport,Ourinhos,BR-SP,-22.9666,-49.912,4921
SDOV,,Mozarlândia Airport,Mozarlândia,BR-GO,-14.7706,-50.5642,4921
SDOW,OIA,Ourilândia do Norte Airport,Ourilândia do Norte,BR-PA,-6.763,-51.0499,3937
SDP7,,Antenor Duarte Vilela Airport,Barretos,BR-SP,-20.4939,-48.6731,4593
SDPA,,Fazenda Portobello Airport,Mangaratiba,BR-RJ,-22.9271,-44.0802,4167
SDPN,,Penápolis Airport,Penápolis,BR-SP,-21.41,-50.0337,4921
SDPW,,Piracicaba Airport,Piracicaba,BR-SP,-22.7115,-47.6182,3937
SDQL,,Fazenda Cerro Azul Airport,Nioaque,BR-MS,-21.1824,-55.7343,3609
SDQQ,,Companhia Agrícola de Quatá Airport,Quatá,BR-SP,-22.2856,-50.6394,3609
SDQZ,,Fazenda Espinhaço II Airport,Barra do Garças,BR-MT,-15.3977,-52.0749,4593
SDRR,,Avaré-Arandu Airport,Avaré,BR-SP,-23.0922,-48.9874,4856
SDRS,REZ,Resende Airport,Resende,BR-RJ,-22.4785,-44.4803,4265
SDSC,QSC,Mário Pereira Lopes–São Carlos International Airport,São Carlos,BR-SP,-21.875,-47.9039,4790
SDT8,,Fazenda Caraíbas Airport,Jequitaí,BR-MG,-17.1893,-44.6121,3937
SDTE,,Fazenda Tapijara Airport,Arandu,BR-SP,-23.2202,-49.0758,3740
SDTF,,Tatuí Airport,Tatuí,BR-SP,-23.3319,-47.8783,3609
SDTP,,Tupã Airport,Tupã,BR-SP,-21.8891,-50.5051,4921
SDTY,,Usina São Martinho Airport,Pradópolis,BR-SP,-21.3398,-48.1149,5249
SDUN,ITP,Itaperuna Airport,Itaperuna,BR-RJ,-21.2193,-41.8759,3937
SDV9,,Fazenda Baixão Verde Airport,Almas,BR-TO,-11.1998,-47.3241,3937
SDVG,VOT,Domingos Pignatari Airport,Votuporanga,BR-SP,-20.4584,-50.0031,4921
SDWH,,Fazenda Avanhandava Airport,José Bonifácio,BR-SP,-21.1886,-49.9361,4921
SDWU,,Fazenda Anahí Airport,Porto Murtinho,BR-MS,-21.7083,-57.7406,3937
SDXF,,Alto Paraíso Airport,Alto Paraíso,BR-GO,-14.121,-47.5309,3937
SDXJ,,Costa Rica Airport,Costa Rica,BR-MS,-18.4913,-53.1681,4265
SJZL,,Fazenda Vaca Mocha Airport,Caracol,BR-MS,-22.2216,-57.1582,3937
SDYB,,Fazenda São José do Barreiro Airport,Itapetininga,BR-SP,-23.7845,-48.3384,3609
SDYF,,Fazenda Irmãos Munaretto Airport,Lucas Do Rio Verde,BR-MT,-13.1096,-55.993,4265
SDH4,,Aeroclube de Itapeva Airport,Itapeva,BR-SP,-23.9413,-48.8818,4265
SDYX,,Campo Maior Airport,Campo Maior,BR-PI,-4.8542,-42.2606,3937
SDZH,,Fazenda Santa Helena Airport,Pindamonhangaba,BR-SP,-22.8906,-45.4931,4593
SD3K,,Fazenda São Marcos Airport,Itapeva,BR-SP,-23.9224,-48.8183,4593
SE08,,San Carlos Costa Airport,Lorenzo de Garaicoa,EC-G,-2.0547,-79.4331,4265
SESR,,San Rafael Airport,Bucay,EC-G,-2.1746,-79.2349,4265
SEKI,,Km 60 Airport,Luz de América,EC-26,-0.5362,-79.372,3937
SEAM,ATF,Chachoán Regional Airport,Ambato,EC-T,-1.2121,-78.5746,6316
SEBZ,,Cumbaratza Airport,Cumbaratza,EC-Z,-4.0188,-78.8873,4659
SECO,OCC,Francisco De Orellana Airport,Coca,EC-D,-0.4629,-76.9868,6760
SECU,CUE,Mariscal Lamar Airport,Cuenca,EC-A,-2.8895,-78.9844,6234
SEGS,GPS,Seymour Galapagos Ecological Airport,Isla Baltra,EC-W,-0.4538,-90.2659,7877
SEGU,GYE,José Joaquín de Olmedo International Airport,Guayaquil,EC-G,-2.1574,-79.8836,9154
SEGZ,,Gualaquiza Airport,Santiago,EC-S,-3.4232,-78.567,6601
SEII,IBB,General Villamil Airport,Puerto Villamil,EC-W,-0.9426,-90.953,4921
SEJD,TNW,Jumandy Airport,Ahuano,EC-N,-1.0602,-77.5805,8202
SELT,LTX,Cotopaxi International Airport,Latacunga,EC-X,-0.9068,-78.6158,12117
SEMA,MRR,Jose Maria Velasco Ibarra Airport,Macará,EC-L,-4.3782,-79.941,3532
SEMC,XMS,Coronel E Carvajal Airport,Macas,EC-S,-2.2992,-78.1208,8202
SEMO,,El Carmen Airport,Montalvo,EC-Y,-2.067,-76.9757,4725
SEMT,MEC,Eloy Alfaro International Airport,Manta,EC-M,-0.9461,-80.6788,9383
SEPC,,Patuca Airport,Patuca,EC-S,-2.7517,-78.2636,5255
SEPS,,Amable Calle Gutierrez Airport,Pasaje,EC-O,-3.3197,-79.7692,3774
SEPV,PVO,Reales Tamarindos Airport,Portoviejo,EC-M,-1.0416,-80.4722,7451
SEQE,,Quevedo Airport,Quevedo,EC-R,-0.989,-79.4656,4450
SEQM,UIO,Mariscal Sucre International Airport,Quito,EC-P,-0.1254,-78.3543,13445
SERB,,Chimborazo Airport,Riobamba,EC-H,-1.6533,-78.6563,5250
SERO,ETR,Santa Rosa - Artillery Colonel Victor Larrea International Airport,Santa Rosa,EC-O,-3.442,-79.997,8625
SESA,SNC,General Ulpiano Paez International Airport,Salinas/La Libertad,EC-25,-2.2101,-80.9851,8629
SESD,,Santo Domingo de Los Colorados Airport,Santo Domingo de Los Colorades,EC-26,-0.2483,-79.2091,3668
SESL,,San Lorenzo Airport,San Lorenzo,EC-E,1.2648,-78.7971,3937
SESM,PTZ,Rio Amazonas Airport,Shell Mera,EC-Y,-1.5052,-78.0627,5052
SEST,SCY,San Cristóbal Airport,Puerto Baquerizo Moreno,EC-W,-0.9102,-89.6174,6214
SESV,BHA,Los Perales Airport,Bahía de Caraquez,EC-M,-0.6081,-80.4027,7227
SETA,,Taura Air Base,Virgen de Fatima,EC-G,-2.261,-79.6802,10015
SETE,,Mayor Galo Torres Airport,Tena,EC-N,-0.9868,-77.8195,3937
SECA,LOH,Ciudad de Catamayo Airport,La Toma (Catamayo),EC-L,-3.9956,-79.3719,6725
SETN,ESM,Carlos Concha Torres International Airport,Tachina,EC-E,0.9785,-79.6266,7874
SETR,TPC,Tarapoa Airport,Tarapoa,EC-U,-0.123,-76.3378,5151
SETU,TUA,Lieutenant Colonel Luis A. Mantilla International Airport,Tulcán,EC-C,0.8095,-77.7081,8071
SG67,,Estancia Pai Quara Airport,Estancia Pai Quara,PY-13,-23.2233,-55.9463,4757
SGAS,ASU,Silvio Pettirossi International Airport,Asunción,PY-11,-25.2402,-57.5192,10997
SGAY,AYO,Aeropuerto Nacional Juan de Ayolas,Ayolas,PY-8,-27.3784,-56.8568,6070
SGCO,CIO,Lieutenant Colonel Carmelo Peralta National Airport,Concepción,PY-1,-23.4416,-57.427,6070
SGEN,ENO,Teniente Ramon A. Ayub Gonzalez International Airport,Encarnación,PY-7,-27.2275,-55.8376,7218
SGES,AGT,Guaraní International Airport,Ciudad del Este,PY-10,-25.4572,-54.8395,11154
SGIB,,Itaipú Airport,Itaipú,PY-10,-25.4078,-54.6195,4987
SGME,ESG,Dr. Luis María Argaña International Airport,Mariscal Estigarribia,PY-19,-22.0465,-60.6217,11483
SGPI,PIL,Aeródromo Don Carlos Miguel Gimenez,Pilar,PY-12,-26.882,-58.3191,4920
SGPJ,PJC,Aeropuerto Nacional Dr. Augusto Roberto Fuster,Pedro Juan Caballero,PY-13,-22.6414,-55.83,5908
SGST,,Santa Teresa Airport,Santa Teresa,PY-13,-22.6225,-56.6344,5895
SI1Q,,Alvorada do Norte Airport,Alvorada do Norte,BR-GO,-14.5124,-46.5248,3548
SI33,,Fazenda Boa Sorte Airport,São Félix do Araguaia,BR-MT,-11.2664,-52.3239,3937
SI3N,,Fazenda Plataforma Airport,Matões,BR-MA,-5.2533,-43.5811,3609
SI68,,Gelindo Stefanuto Airport,Campo Novo do Parecis,BR-MT,-13.7322,-57.8918,5249
SI8M,,Hospital de Amor Airport,Lagarto,BR-SE,-10.901,-37.6323,4265
SI8W,,Barra Grande Airport,Cajueiro da Praia,BR-PI,-3.0414,-41.3963,4017
SIAQ,,Bom Futuro Airport,Cuiabá,BR-MT,-15.5064,-56.0983,5105
SIBY,,Lourival Nunes de Farias Airport,Monteiro,BR-PB,-7.8782,-37.14,3740
SIBZ,,Itaporanga Airport,Itaporanga,BR-PB,-7.3117,-38.1127,3937
SIC,SIC,San José Island Airport,Las Perlas,PA-8,8.2622,-79.078,4364
SICK,,Dr. Jucelino José Ribeiro Airport,Capelinha,BR-MG,-17.6806,-42.5294,3773
SWSL,,Aviação Estrela Bôscoli Airport,Lucas Do Rio Verde,BR-MT,-13.3258,-56.0499,4265
SID5,,Fazenda Santa Matilde Airport,Cabeceira Grande,BR-MG,-16.0251,-47.1585,3610
SIE2,,Fazenda Marape Airport,Lucas do Rio Verde,BR-MT,-13.165,-56.1768,4595
SIEJ,,Monte Verde Airport,Nova Monte Verde,BR-MT,-9.9429,-57.486,3609
SIFV,,Primo Bitti Airport,Aracruz,BR-ES,-19.8258,-40.1022,5249
SJAA,,Fazenda Araguari Airport,Gaúcha do Norte,BR-MT,-13.3367,-53.9578,4593
SWUV,,Fazenda Progresso Airport,Sebastião Leal,BR-PI,-7.5026,-44.1985,4659
